Surname,Name,Role,Affiliation
Aguilar,Amilcar,Bean,CATIE
Arnaud,Elizabeth,Data,ABC
Barrios,Mirna,Bean,CATIE
Borman,Gareth,20+ crops Ethiopia,WUR
Brown,David,Data,ABC
Carey,Edward,Sweetpotato,CIP
Fadda,Carlo,Durum,ABC
Gebrehawaryat,Yosef,Durum,ABC
Gupta,Arnab,"Rice, Wheat",WUR
Jai,Rana,20+ crops India,ABC
Lakew,Basazen ,Durum,Sant'Anna
Laporte,Marie-Angélique,Data,ABC
Madriz,Brandon,Data,ABC
Manners,Rhys,Potato,IITA
Mathur,Prem,STOL,ABC
Mengistu,Dejene K.,Durum,ABC
Muungani,Dean,"Wheat, maize",IITA
Otieno,Gloria,,ABC
Quiros,Carlos,Data,ABC
Schaap,Mirjam,20+ crops Ethiopia,WUR
Sharma,Neeraj,"Rice, Wheat",CIP
Solberg,Svein Øivind,Data,INN
Steinke,Jonathan,Bean,ABC
Suchini,Jose Gabriel,Bean,CATIE
Teeken,Béla,Cassava,IITA
Tufan,Hale Ann,Cassava,Cornell
Ulzen,Jacob ,Sweetpotato ,ABC
